name,group,group_id,group_index
Deashi Hari,Dai Ikkyo,1,1
Hiza Guruma,Dai Ikkyo,1,2
Sasae Tsurikomi Ashi,Dai Ikkyo,1,3
Uki Goshi,Dai Ikkyo,1,4
Osoto Gari,Dai Ikkyo,1,5
O Goshi,Dai Ikkyo,1,6
Ouchi Gari,Dai Ikkyo,1,7
Seoi Nage,Dai Ikkyo,1,8
Kosoto Gari,Dai Nikyo,2,1
Kouchi Gari,Dai Nikyo,2,2
Koshi Guruma,Dai Nikyo,2,3
Tsurikomi Goshi,Dai Nikyo,2,4
Okuriashi Harai,Dai Nikyo,2,5
Tai Otoshi,Dai Nikyo,2,6
Harai Goshi,Dai Nikyo,2,7
Uchi Mata,Dai Nikyo,2,8
Kosoto Gake,Sankyo,3,1
Tsuri Goshi,Sankyo,3,2
Yoko Otoshi,Sankyo,3,3
Ashi Guruma,Sankyo,3,4
Hane Goshi,Sankyo,3,5
Harai Tsurikomi Ashi,Sankyo,3,6
Tomoe Nage,Sankyo,3,7
Kata Guruma,Sankyo,3,8
Sumi Gaeshi,Yonkyo,4,1
Tani Otoshi,Yonkyo,4,2
Hane Makikomi,Yonkyo,4,3
Sukui Nage,Yonkyo,4,4
Utsuri Goshi,Yonkyo,4,5
O Guruma,Yonkyo,4,6
Soto Makikomi,Yonkyo,4,7
Uki Otoshi,Yonkyo,4,8
Osoto Guruma,Gokyo,5,1
Uki Waza,Gokyo,5,2
Yoko Wakare,Gokyo,5,3
Yoko Guruma,Gokyo,5,4
Ushiro Goshi,Gokyo,5,5
Ura Nage,Gokyo,5,6
Sumi Otoshi,Gokyo,5,7
Yoko Gake,Gokyo,5,8
Obi Otoshi,Habukareta Waza,6,1
Seoi Otoshi,Habukareta Waza,6,2
Yama Arashi,Habukareta Waza,6,3
Osoto Otoshi,Habukareta Waza,6,4
Daki Wakare,Habukareta Waza,6,5
Hikikomi Gaeshi,Habukareta Waza,6,6
Tawara Gaeshi,Habukareta Waza,6,7
Uchi Makikomi,Habukareta Waza,6,8
Morote Gari,Shinmeisho No Waza,7,1
Kuchiki Taoshi,Shinmeisho No Waza,7,2
Kibisu Gaeshi,Shinmeisho No Waza,7,3
Uchi Mata Sukashi,Shinmeisho No Waza,7,4
Daki Age,Shinmeisho No Waza,7,5
Tsubame Gaeshi,Shinmeisho No Waza,7,6
Kouchi Gaeshi,Shinmeisho No Waza,7,7
Ouchi Gaeshi,Shinmeisho No Waza,7,8
Osoto Gaeshi,Shinmeisho No Waza,7,9
Harai Goshi Gaeshi,Shinmeisho No Waza,7,10
Uchi Mata Gaeshi,Shinmeisho No Waza,7,11
Hane Goshi Gaeshi,Shinmeisho No Waza,7,12
Kani Basami,Shinmeisho No Waza,7,13
Osoto Makikomi,Shinmeisho No Waza,7,14
Kawazu Gake,Shinmeisho No Waza,7,15
Harai Makikomi,Shinmeisho No Waza,7,16
Uchi Mata Makikomi,Shinmeisho No Waza,7,17
Sode Tsurikomi Goshi,Shinmeisho No Waza,7,18
Ippon Seoinage,Shinmeisho No Waza,7,19
