name,translated_name
de-ashi-harai,Forward Foot Sweep
hiza-guruma,Knee Wheel
sasae-tsurikomi-ashi,Propping-Lifting Pulling Ankle Throw
o-soto-gari,Major Outer Reaping
o-uchi-gari,Major Inner Reaping
ko-soto-gari,Minor Outer Reaping
ko-uchi-gari,Minor Inner Reaping
okuri-ashi-harai,Following Ankle Sweep
uchi-mata,Inner Thigh Throw
ko-soto-gake,Minor Outer Hook
ashi-guruma,Foot Wheel
harai-tsurikomi-ashi,Sweeping Lifting Pulling Ankle Throw
o-guruma,Major Wheel
o-soto-guruma,Major Outer Wheel
o-soto-otoshi,Major Outer Drop
tsubame-gaeshi,Swallow Counter
o-soto-gaeshi,Major Outer Reversal
o-uchi-gaeshi,Major Inner Reversal
hane-goshi-gaeshi,Spring Hip Reversal
harai-goshi-gaeshi,Sweeping Hip Reversal
uchi-mata-gaeshi,Inner Thigh Throw Reversal
ude-garami,Entangled Arm Lock
ude-hishigi-juji-gatame,Cross Lock of the Arm
ude-hishigi-ude-gatame,Arm Lock
ude-hishigi-hiza-gatame,Elbow Lock with Knee
ude-hishigi-waki-gatame,Arm Lock with Armpit
ude-hishigi-hara-gatame,Arm Lock with Stomach
ude-hishigi-ashi-gatame,Arm Lock with Leg
ude-hishigi-te-gatame,Arm Lock with Hand
ude-hishigi-sankaku-gatame,Triangle Arm Lock
ashi-garami,Leg Entanglement
uki-goshi,Floating Hip
o-goshi,Major Hip
koshi-guruma,Hip Wheel
tsurikomi-goshi,Lifting Pulling Hip
sode-tsurikomi-goshi,Sleeve-Lifting Pulling Hip
harai-goshi,Sweeping Hip
tsuri-goshi,Lift Pull Hip
hane-goshi,Spring Hip
utsuri-goshi,Shifting Hip
ushiro-goshi,Rear Hip Throw
tomoe-nage,Circle Throw
sumi-gaeshi,Corner Reversal
hikikomi-gaeshi,Pulling-in Reversal
tawara-gaeshi,Rice Bale Reversal
ura-nage,Rear Throw
kesa-gatame,Scarf Hold
kesa-gatame:escapes,Scarf Hold Escapes
kuzure-kesa-gatame,Modified Scarf Hold
kuzure-kesa-gatame:escapes,Modified Scarf Hold Escapes
ushiro-kesa-gatame,Rear Scarf Hold
ushiro-kesa-gatame:escapes,Rear Scarf Hold Escapes
kata-gatame,Shoulder Hold
kata-gatame:escapes,Shoulder Hold Escapes
kami-shiho-gatame,Upper Four-Quarters Hold
kami-shiho-gatame:escapes,Upper Four-Quarters Hold Escapes
kuzure-kami-shiho-gatame,Modified Upper Four-Quarters Hold
kuzure-kami-shiho-gatame:escapes,Modified Upper Four-Quarters Hold Escapes
yoko-shiho-gatame,Sideways Four-Quarters Hold
yoko-shiho-gatame:escapes,Sideways Four-Quarters Hold Escapes
tate-shiho-gatame,Vertical Four-Quarters Hold
tate-shiho-gatame:escapes,Vertical Four-Quarters Hold Escapes
uki-gatame,Floating Hold
uki-gatame:escapes,Floating Hold Escapes
ura-gatame,Rear Hold
ura-gatame:escapes,Rear Hold Escapes
nami-juji-jime,Normal Cross Choke
gyaku-juji-jime,Reverse Cross Choke
kata-juji-jime,Half Cross Choke
hadaka-jime,Naked Strangle
okuri-eri-jime,Sliding Collar Choke
kataha-jime,Single Wing Choke
katate-jime,Single-hand Choke
ryote-jime,Two-hand Choke
sode-guruma-jime,Sleeve Wheel Choke
tsukkomi-jime,Thrusting Choke
sankaku-jime,Triangle Choke
do-jime,Body Choke
seoi-nage,Shoulder Throw
ippon-seoi-nage,One-arm Shoulder Throw
seoi-otoshi,Shoulder Drop
tai-otoshi,Body Drop
kata-guruma,Shoulder Wheel
sukui-nage,Scooping Throw
obi-otoshi,Belt Drop
uki-otoshi,Floating Drop
sumi-otoshi,Corner Drop
yama-arashi,Mountain Storm
obi-tori-gaeshi,Belt-taking Reversal
morote-gari,Two-hand Reap
kuchiki-taoshi,Single-hand Drop
kibisu-gaeshi,Heel Trip Reversal
uchi-mata-sukashi,Inner Thigh Reap Counter
ko-uchi-gaeshi,Minor Inner Reap Counter
yoko-otoshi,Side Drop
tani-otoshi,Valley Drop
hane-makikomi,Spring Wraparound
soto-makikomi,Outer Wraparound
uchi-makikomi,Inner Wraparound
uki-waza,Floating Technique
yoko-wakare,Side Separation
yoko-guruma,Side Wheel
yoko-gake,Side Hook
daki-wakare,High Separation
o-soto-makikomi,Major Outer Wraparound
uchi-mata-makikomi,Inner Thigh Wraparound
harai-makikomi,Sweeping Wraparound
ko-uchi-makikomi,Minor Inner Wraparound
kani-basami,Crab Claw Scissors
kawazu-gake,One-leg Entanglement
